Clicked at: (498, 298)
[498,298]
Clicked at: (631, 358)
[631,358]
Clicked at: (758, 296)
[758,296]
Clicked at: (506, 422)
[506,422]
Clicked at: (766, 416)
[766,416]
Clicked at: (514, 544)
[514,544]
Clicked at: (776, 538)
[776,538]
Clicked at: (522, 665)
[522,665]
Clicked at: (649, 602)
[649,602]
Clicked at: (782, 660)
[782,660]
Clicked at: (632, 837)
[632,837]
Clicked at: (648, 122)
[648,122]
Clicked at: (118, 775)
[118,775]
Clicked at: (126, 896)
[126,896]
Clicked at: (1136, 781)
[1136,781]
Clicked at: (1146, 902)
[1146,902]
Clicked at: (142, 183)
[142,183]
Clicked at: (134, 58)
[134,58]
Clicked at: (142, 183)
[142,183]
Clicked at: (135, 58)
[135,58]
Clicked at: (1163, 191)
[1163,191]
Clicked at: (1154, 64)
[1154,64]
